word,pinyin,meaning
加,jiā,"['to add', 'plus', '(used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned)', 'to apply (restrictions etc) to (sb)', 'to give (support, consideration etc) to (sth)']"
认识,rènshì,"['to know', 'to recognize', 'to be familiar with', 'to get acquainted with sb', 'knowledge', 'understanding', 'awareness', 'cognition']"
送,sòng,"['to deliver', 'to carry', 'to give (as a present)', 'to present (with)', 'to see off', 'to send']"
生,shēng,"['to be born', 'to give birth', 'life', 'to grow', 'raw', 'uncooked', 'student']"
骂,mà,['variant of 罵|骂[ma4]']
黑,hēi,"['black', 'dark', 'sinister', 'secret', 'shady', 'illegal', 'to hide (sth) away', 'to vilify', '(loanword) to hack (computing)']"
祝,zhù,"['to wish', 'to express good wishes', 'to pray', '(old) wizard']"
不行,bùxíng,"[""won't do"", 'be out of the question', 'be no good', 'not work', 'not be capable']"
确实,quèshí,"['indeed', 'really', 'reliable', 'real', 'true']"
靠,kào,"['to lean against or on', 'to stand by the side of', 'to come near to', 'to depend on', 'to trust', 'to fuck (vulgar)', 'traditional military costume drama where the performers wear armor (old)']"
只有,zhǐyǒu,['only']
路,lù,"['road', 'CL:條|条[tiao2]', 'journey', 'route', 'line (bus etc)', 'sort', 'kind']"
条,tiáo,"['strip', 'item', 'article', 'clause (of law or treaty)', 'classifier for long thin things (ribbon, river, road, trousers etc)']"
够,gòu,"['enough (sufficient)', 'enough (too much)', '(coll.) (before adj.) really', '(coll.) to reach by stretching out']"
该,gāi,"['should', 'ought to', 'probably', 'must be', 'to deserve', 'to owe', ""to be sb's turn to do sth"", 'that', 'the above-mentioned']"
有人,yǒurén,"['someone', 'people', 'anyone', 'there is someone there', 'occupied (as in restroom)']"
日,rì,"['sun', 'day', 'date, day of the month']"
别人,biérén,"['other people', 'others', 'other person']"
时,shí,"[""o'clock"", 'time', 'when', 'hour', 'season', 'period']"
句,jù,"['sentence', 'clause', 'phrase', 'classifier for phrases or lines of verse']"
假,jiǎ,"['variant of 假[jia3]', 'to borrow']"
手机,shǒujī,"['cell phone', 'mobile phone', 'CL:部[bu4],支[zhi1]']"
放,fàng,"['to put', 'to place', 'to release', 'to free', 'to let go', 'to let out', 'to set off (fireworks)']"
羡慕,xiànmù,"['to envy', 'to admire']"
过来,guòlái,['see 過來|过来[guo4 lai2]']
蛮,mán,"['barbarian', 'bullying', 'very', 'quite', 'rough', 'reckless']"
悲,bēi,"['sad', 'sadness', 'sorrow', 'grief']"
偶,ǒu,"['accidental', 'image', 'pair', 'mate']"
换,huàn,"['to exchange', 'to change (clothes etc)', 'to substitute', 'to switch', 'to convert (currency)']"
总,zǒng,"['always', 'to assemble', 'gather', 'total', 'overall', 'head', 'chief', 'general', 'in every case']"
好多,hǎoduō,"['many', 'quite a lot', 'much better']"
恭喜,gōngxǐ,"['congratulations', 'greetings']"
回去,húiqù,"['to return', 'to go back']"
心情,xīnqíng,"['mood', 'frame of mind', 'CL:個|个[ge4]']"
种,zhǒng,"['to plant', 'to grow', 'to cultivate']"
还要,huányào,
当然,dāngrán,"['only natural', 'as it should be', 'certainly', 'of course', 'without doubt']"
卖,mài,"['to sell', 'to betray', 'to spare no effort', 'to show off or flaunt']"
伤心,shāngxīn,"['to grieve', 'to be broken-hearted', 'to feel deeply hurt']"
吃饭,chīfàn,"['to have a meal', 'to eat', 'to make a living']"
与,yǔ,['to take part in']
甘,gān,"['sweet', 'willing']"
越,yuè,"['to exceed', 'to climb over', 'to surpass', 'the more... the more']"
机会,jīhùi,"['opportunity', 'chance', 'occasion', 'CL:個|个[ge4]']"
神马,shénmǎ,"['mythical horse', 'Internet slang for 什麼|什么[shen2 me5]']"
容易,róngyì,"['easy', 'likely', 'liable (to)']"
这些,zhèxiē,['these']
晕,yūn,"['dizzy', 'halo', 'ring around moon or sun']"
不用,bùyòng,['need not']
告诉,gàosù,"['to tell', 'to inform', 'to let know']"
注意,zhùyì,"['to take note of', 'to pay attention to']"
绝对,juédùi,"['absolute', 'unconditional']"
同学,tóngxué,"['to study at the same school', 'fellow student', 'classmate', 'CL:位[wei4],個|个[ge4]']"
变,biàn,"['to change', 'to become different', 'to transform', 'to vary', 'rebellion']"
直接,zhíjiē,"['direct', 'opposite: indirect 間接|间接', 'immediate', 'directly', 'straightforward']"
吖,ā,"['phonetic a, similar to 呵', '-azine, see 吖嗪[a1 qin2]']"
噢,ō,['Oh!']
俺,ǎn,['I (northern dialects)']
不到,bùdào,"['not to arrive', 'not reaching', 'insufficient', 'less than']"
天天,tiāntiān,['every day']
住,zhù,"['to live', 'to dwell', 'to stay', 'to reside', 'to stop', '(suffix indicating firmness, steadiness, or coming to a halt)']"
毛,máo,"['hair', 'feather', 'down', 'wool', 'mildew', 'mold', 'coarse or semifinished', 'young', 'raw', 'careless', 'unthinking', 'nervous', 'scared', '(of currency) to devalue or depreciate', 'classifier for Chinese fractional monetary unit ( = 角[jiao3] , = one-tenth of a yuan or 10 fen 分[fen1])']"
没事,méishì,"[""it's not important"", ""it's nothing"", 'never mind', 'to have nothing to do', 'to be free', 'to be all right (out of danger or trouble)']"
学校,xuéxiào,"['school', 'CL:所[suo3]']"
胖,pàng,"['fat', 'plump']"
睡觉,shùijué,"['to go to bed', 'to sleep']"
晚,wǎn,"['evening', 'night', 'late']"
出去,chūqù,['to go out']
咱,zán,['variant of 咱[zan2]']
不敢,bùgǎn,
上海,shànghǎi,"['Shanghai municipality, central east China, abbr. to 滬|沪[Hu4]']"
只能,zhǐnéng,"['can only', 'obliged to do sth', 'to have no other choice']"
喔,ō,"['(particle) marker of surprise, sudden realization, reminder']"
子,zǐ,['(noun suffix)']
呗,bài,"['modal particle indicating indicating lack of enthusiasm', 'modal particle indicating that things should only or can only be done a certain way']"
欢迎,huānyíng,"['to welcome', 'welcome']"
催,cūi,"['to urge', 'to press', 'to prompt', 'to rush sb', 'to hasten sth', 'to expedite']"
终于,zhōngyú,"['at last', 'in the end', 'finally', 'eventually']"
五,wǔ,"['five', '5']"
社会,shèhùi,"['society', 'CL:個|个[ge4]']"
哪个,nǎgè,"['which', 'who']"
同,tóng,['see 衚衕|胡同[hu2 tong4]']
久,jǐu,"['(long) time', '(long) duration of time']"
痛,tòng,"['ache', 'pain', 'sorrow', 'deeply', 'thoroughly']"
全,quán,"['all', 'whole', 'entire', 'every', 'complete']"
超,chāo,"['to exceed', 'to overtake', 'to surpass', 'to transcend', 'to pass', 'to cross', 'ultra-', 'super-']"
连,lián,"['to link', 'to join', 'to connect', 'continuously', 'in succession', 'including', '(used with 也, 都 etc) even', 'company (military)']"
多少,duōshǎo,"['how much', 'how many', 'which (number)', 'as much as']"
活动,huódòng,"['to exercise', 'to move about', 'to operate', 'to use connections (personal influence)', 'loose', 'shaky', 'active', 'movable', 'activity', 'campaign', 'maneuver', 'behavior', 'CL:項|项[xiang4],個|个[ge4]']"
以前,yǐqián,"['before', 'formerly', 'previous', 'ago']"
坐,zuò,"['to sit', 'to take a seat', 'to take (a bus, airplane etc)', 'to bear fruit', 'variant of 座[zuo4]']"
事情,shìqíng,"['affair', 'matter', 'thing', 'business', 'CL:件[jian4],樁|桩[zhuang1]']"
好久,hǎojǐu,['quite a while']
公司,gōngsī,"['(business) company', 'company', 'firm', 'corporation', 'incorporated', 'CL:家[jia1]']"
我家,wǒjiā,
瘦,shòu,"['thin', 'to lose weight', '(of clothing) tight', '(of meat) lean', '(of land) unproductive']"
乱,luàn,"['in confusion or disorder', 'in a confused state of mind', 'disorder', 'upheaval', 'riot', 'illicit sexual relations', 'to throw into disorder', 'to mix up', 'indiscriminate', 'random', 'arbitrary']"
装,zhuāng,"['adornment', 'to adorn', 'dress', 'clothing', 'costume (of an actor in a play)', 'to play a role', 'to pretend', 'to install', 'to fix', 'to wrap (sth in a bag)', 'to load', 'to pack']"
干嘛,gānma,"['what are you doing?', 'whatever for?', 'why on earth?']"
下午,xiàwǔ,"['afternoon', 'CL:個|个[ge4]', 'p.m.']"
无聊,wúliáo,"['bored', 'boring', 'senseless']"
米,mǐ,"['rice', 'CL:粒[li4]', 'meter (classifier)']"
要是,yàoshì,['if']
相信,xiāngxìn,"['to be convinced (that sth is true)', 'to believe', 'to accept sth as true']"
而已,éryǐ,"[""that's all"", 'nothing more']"
水,shǔi,"['water', 'river', 'liquid', 'beverage', 'additional charges or income', '(of clothes) classifier for number of washes']"
花,huā,"['variant of 花[hua1]', 'flower', 'blossom', 'also pr. [wei3]']"
世界,shìjiè,"['world', 'CL:個|个[ge4]']"
一般,yībān,"['same', 'ordinary', 'so-so', 'common', 'general', 'generally', 'in general']"
肿,zhǒng,"['to swell', 'swelling', 'swollen']"
边,biān,['suffix of a noun of locality']
不得,bùdé,"['must not', 'may not', 'not to be allowed', 'cannot']"
努力,nǔlì,"['great effort', 'to strive', 'to try hard']"
非常,fēicháng,"['very', 'very much', 'unusual', 'extraordinary']"
者,zhě,"['(after a verb or adjective) one who (is) ...', '(after a noun) person involved in ...', '-er', '-ist', '(used after a number or 後|后[hou4] or 前[qian2] to refer to sth mentioned previously)', '(used after a term, to mark a pause before defining the term)', '(old) (used at the end of a command)', '(old) this']"
日子,rìzǐ,"['day', 'a (calendar) date', ""days of one's life""]"
坏,huài,"['bad', 'spoiled', 'broken', 'to break down', '(suffix) to the utmost']"
咩,miē,['old variant of 咩[mie1]']
讨厌,tǎoyàn,"['to dislike', 'to loathe', 'disagreeable', 'troublesome', 'annoying']"
吓,xià,"['to frighten', 'to scare']"
每天,měitiān,"['every day', 'everyday']"
继续,jìxù,"['to continue', 'to proceed with', 'to go on with']"
掉,diào,"['to fall', 'to drop', 'to lag behind', 'to lose', 'to go missing', 'to reduce', 'fall (in prices)', 'to lose (value, weight etc)', 'to wag', 'to swing', 'to turn', 'to change', 'to exchange', 'to swap', 'to show off', 'to shed (hair)', '(used after certain verbs to express completion, fulfillment, removal etc)']"
哼,hēng,"['to groan', 'to snort', 'to hum', 'to croon', 'humph!']"
名字,míngzì,"['name (of a person or thing)', 'CL:個|个[ge4]']"
居然,jūrán,"['unexpectedly', ""to one's surprise"", 'go so far as to']"
恨,hèn,"['to hate', 'to regret']"
伐,fá,"['to cut down', 'to fell', 'to dispatch an expedition against', 'to attack', 'to boast', 'Taiwan pr. [fa1]']"
陪,péi,"['to accompany', 'to keep sb company', 'to assist', 'old variant of 賠|赔[pei2]']"
而且,érqiě,"['(not only ...) but also', 'moreover', 'in addition', 'furthermore']"
而,ér,"['and', 'as well as', 'and so', 'but (not)', 'yet (not)', '(indicates causal relation)', '(indicates change of state)', '(indicates contrast)']"
跑,pǎo,"['to run', 'to run away', 'to escape', 'to run around (on errands etc)', '(of a gas or liquid) to leak or evaporate', '(verb complement) away', 'off']"
为了,wèile,"['in order to', 'for the purpose of', 'so as to']"
特别,tèbié,"['especially', 'special', 'particular', 'unusual']"
学习,xuéxí,"['to learn', 'to study']"
屎,shǐ,"['stool', 'feces', 'ear wax', 'nasal mucus']"
最后,zùihòu,"['final', 'last', 'finally', 'ultimate']"
过去,guòqù,['(verb suffix)']
痛苦,tòngkǔ,"['pain', 'suffering', 'painful', 'CL:個|个[ge4]']"
岁,sùi,"['classifier for years (of age)', 'year', 'year (of crop harvests)']"
照,zhào,"['according to', 'in accordance with', 'to shine', 'to illuminate', 'to reflect', ""to look at (one's reflection)"", 'to take (a photo)', 'photo', 'as requested', 'as before']"
情况,qíngkuàng,"['circumstances', 'state of affairs', 'situation', 'CL:個|个[ge4],種|种[zhong3]']"
妈妈,māmā,"['mama', 'mommy', 'mother', 'CL:個|个[ge4],位[wei4]']"
辛苦,xīnkǔ,"['hard', 'exhausting', 'with much toil', 'thanks for your trouble']"
纠结,jīujié,"['to intertwine', 'to band together (with)', 'to link up (with)', 'twisted', 'tangled', 'confused', 'to be at a loss']"
怪,guài,['variant of 怪[guai4]']
饿,è,"['to be hungry', 'hungry', 'to starve (sb)']"
感谢,gǎnxiè,"['(express) thanks', 'gratitude', 'grateful', 'thankful', 'thanks']"
脸,liǎn,"['face', 'CL:張|张[zhang1],個|个[ge4]']"
办法,bànfǎ,"['means', 'method', 'way (of doing sth)', 'CL:條|条[tiao2],個|个[ge4]']"
鸟,niǎo,"['bird', 'CL:隻|只[zhi1],群[qun2]', '(dialect) to pay attention to', '(intensifier) damned', 'goddam']"
本来,běnlái,"['original', 'originally', 'at first', 'it goes without saying', 'of course']"
今晚,jīnwǎn,['tonight']
饭,fàn,"['food', 'cuisine', 'cooked rice', 'meal', 'CL:碗[wan3],頓|顿[dun4]']"
四,sì,"['four', '4']"
节,jié,"['festival', 'holiday', 'node', 'joint', 'section', 'segment', 'part', 'to economize', 'to save', 'to abridge', 'moral integrity', 'classifier for segments, e.g. lessons, train wagons, biblical verses', 'CL:個|个[ge4]']"
头,tóu,['suffix for nouns']
貌似,màosì,"['to appear to be', 'to seem as if']"
忙,máng,"['busy', 'hurriedly', 'to hurry', 'to rush']"
冷,lěng,['cold']
关系,guānxì,['variant of 關係|关系[guan1 xi5]']
爽,shuǎng,"['bright', 'clear', 'crisp', 'open', 'frank', 'straightforward', 'to feel well', 'fine', 'pleasurable', 'invigorating', 'to deviate']"
休息,xīuxī,"['rest', 'to rest']"
鬼,gǔi,"['ghost', 'demon', 'terrible', 'damnable', 'clever', 'sly', 'crafty', 'sinister plot', '(suffix for sb with a certain vice or addiction etc)', 'one of the 28 constellations']"
差,chà,"['to send', 'to commission', 'messenger', 'mission']"
这里,zhèlǐ,['here']
纸,zhǐ,"['paper', 'CL:張|张[zhang1],沓[da2]', 'classifier for documents, letter etc']"
俩,liǎ,"['two (colloquial equivalent of 兩個|两个)', 'both', 'some']"
越来越,yuèláiyuè,['more and more']
然后,ránhòu,"['after', 'then (afterwards)', 'after that', 'afterwards']"
分,fēn,"['part', 'share', 'ingredient', 'component']"
傻,shǎ,['foolish']
喊,hǎn,"['to yell', 'to shout', 'to call out for (a person)']"
郁闷,yùmèn,"['gloomy', 'depressed']"
牛,níu,"['ox', 'cow', 'bull', 'CL:條|条[tiao2],頭|头[tou2]', '(slang) awesome']"
爹,diē,['dad']
恶心,èxīn,"['bad habit', 'vicious habit', 'vice']"
些,xiē,"['some', 'few', 'several', 'measure word indicating a small amount or small number (greater than 1)']"
唱,chàng,"['to sing', 'to call loudly', 'to chant']"
结婚,jiéhūn,"['to marry', 'to get married', 'CL:次[ci4]']"
丫,yā,"['fork', 'branch', 'bifurcation', 'girl']"
管,guǎn,"['to take care (of)', 'to control', 'to manage', 'to be in charge of', 'to look after', 'to run', 'to care about', 'tube', 'pipe', 'woodwind', 'classifier for tube-shaped objects', 'particle similar to 把[ba3] in 管...叫 constructions', 'writing brush', '(coll.) to', 'towards']"
有的,yǒude,"['(there are) some (who are...)', 'some (exist)']"
你家,nǐjiā,
贵,gùi,"['expensive', 'noble', 'precious', '(honorific) your']"
猪,zhū,"['hog', 'pig', 'swine', 'CL:口[kou3],頭|头[tou2]']"
减肥,jiǎnféi,['to lose weight']
油,yóu,"['oil', 'fat', 'grease', 'petroleum', 'to apply tung oil, paint or varnish', 'oily', 'greasy', 'glib', 'cunning']"
疯,fēng,"['insane', 'mad', 'wild']"
班,bān,"['team', 'class', 'squad', 'work shift', 'ranking', 'CL:個|个[ge4]', 'classifier for groups']"
早上,zǎoshàng,"['early morning', 'CL:個|个[ge4]']"
看着,kànzháo,
厉害,lìhài,"['difficult to deal with', 'difficult to endure', 'ferocious', 'radical', 'serious', 'terrible', 'violent', 'tremendous', 'awesome']"
太多,tàiduō,
半,bàn,"['half', 'semi-', 'incomplete', '(after a number) and a half']"
电影,diànyǐng,"['movie', 'film', 'CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]']"
位,wèi,"['position', 'location', 'place', 'seat', 'classifier for people (honorific)', 'classifier for binary bits (e.g. 十六位 16-bit or 2 bytes)']"
重要,zhòngyào,"['important', 'significant', 'major']"
实在,shízài,"['really', 'actually', 'indeed', 'true', 'real', 'honest', 'dependable', '(philosophy) reality']"
样子,yángzǐ,"['appearance', 'manner', 'pattern', 'model']"
之前,zhīqián,"['before', 'prior to', 'ago', 'previously', 'beforehand']"
那些,nàxiē,['those']
味道,wèidào,"['flavor', 'smell', 'hint of']"
寂寞,jìmò,"['lonely', 'lonesome', '(of a place) quiet', 'silent']"
猫,māo,"['cat', 'CL:隻|只[zhi1]', '(dialect) to hide oneself', '(coll.) modem']"
表示,biǎoshì,"['to express', 'to show', 'to say', 'to state', 'to indicate', 'to mean']"
热,rè,"['to warm up', 'to heat up', 'hot (of weather)', 'heat', 'fervent']"
包,bāo,"['to cover', 'to wrap', 'to hold', 'to include', 'to take charge of', 'to contract (to or for)', 'package', 'wrapper', 'container', 'bag', 'to hold or embrace', 'bundle', 'packet', 'CL:個|个[ge4],隻|只[zhi1]']"
小心,xiǎoxīn,"['to be careful', 'to take care']"
菜,cài,"['dish (type of food)', 'vegetable', 'cuisine', 'CL:盤|盘[pan2],道[dao4]', ""(coll.) (one's) type""]"
里面,lǐmiàn,"['inside', 'interior']"
星期,xīngqī,"['week', 'CL:個|个[ge4]', 'day of the week', 'Sunday']"
领导,lǐngdǎo,"['lead', 'leading', 'to lead', 'leadership', 'leader', 'CL:位[wei4],個|个[ge4]']"
感,gǎn,"['to feel', 'to move', 'to touch', 'to affect', 'feeling', 'emotion', '(suffix) sense of ~']"
肉,ròu,"['meat', 'flesh', 'pulp (of a fruit)', '(coll.) (of a fruit) squashy', '(of a person) flabby', 'irresolute']"
歌,gē,['variant of 歌[ge1]']
重,zhòng,"['heavy', 'serious', 'to attach importance to']"
人民,rénmín,"['the people', 'CL:個|个[ge4]']"
晓得,xiǎodé,['to know']
身体,shēntǐ,"['the body', ""one's health"", 'CL:具[ju4],個|个[ge4]', 'in person']"
主要,zhǔyào,"['main', 'principal', 'major', 'primary']"
人生,rénshēng,"[""life (one's time on earth)""]"
苦,kǔ,"['bitter', 'hardship', 'pain', 'to suffer', 'to bring suffering to', 'painstakingly']"
诶,āi,['sigh (to express regret)']
赶紧,gǎnjǐn,"['hurriedly', 'without delay']"
呐,nè,['sentence-final particle (abbr. for 呢啊[ne5 a5] or variant of 哪[na5])']
翻,fān,['variant of 翻[fan1]']
养,yǎng,"['to raise (animals)', 'to bring up (children)', 'to keep (pets)', 'to support', 'to give birth']"
最好,zùihǎo,"['best', '(you) had better (do what we suggest)']"
那里,nàlǐ,"['there', 'that place']"
性,xìng,"['nature', 'character', 'property', 'quality', 'attribute', 'sexuality', 'sex', 'gender', 'suffix forming adjective from verb', 'suffix forming noun from adjective, corresponding to -ness or -ity', 'essence', 'CL:個|个[ge4]']"
老公,lǎogōng,"['(coll.) eunuch', 'see also 老公[lao3 gong1]']"
活,huó,"['to live', 'alive', 'living', 'work', 'workmanship']"
各种,gèzhǒng,"['every kind of', 'all kinds of', 'various kinds']"
适合,shìhé,"['to fit', 'to suit']"
左,zuǒ,"['left', 'the Left (politics)', 'east', 'unorthodox', 'queer', 'wrong', 'differing', 'opposite', 'variant of 佐[zuo3]']"
忘,wàng,"['to forget', 'to overlook', 'to neglect']"
字,zì,"['letter', 'symbol', 'character', 'word', 'CL:個|个[ge4]', 'courtesy or style name traditionally given to males aged 20 in dynastic China']"
手,shǒu,"['hand', '(formal) to hold', 'person engaged in certain types of work', 'person skilled in certain types of work', 'personal(ly)', 'convenient', 'classifier for skill', 'CL:雙|双[shuang1],隻|只[zhi1]']"
如此,rúcǐ,"['in this way', 'so']"
屁,pì,"['fart', 'flatulence', 'nonsense', '(usu. in the negative) what', '(not) a damn thing']"
衣服,yīfú,"['clothes', 'CL:件[jian4],套[tao4]']"
如何,rúhé,"['how', 'what way', 'what']"
老板,lǎobǎn,"['boss', 'business proprietor', 'CL:個|个[ge4]']"
不然,bùrán,"['not so', 'no', 'or else', 'otherwise', 'if not', 'How about ...?']"
找到,zhǎodào,['to find']
惨,cǎn,"['miserable', 'wretched', 'cruel', 'inhuman', 'disastrous', 'tragic', 'dim', 'gloomy']"
说话,shuōhuà,"['to speak', 'to say', 'to talk', 'to gossip', 'to tell stories', 'talk', 'word']"
整,zhěng,"['exactly', 'in good order', 'whole', 'complete', 'entire', 'in order', 'orderly', 'to repair', 'to mend', 'to renovate', '(coll.) to fix sb', 'to give sb a hard time', 'to mess with sb']"
抢,qiǎng,"['to fight over', 'to rush', 'to scramble', 'to grab', 'to rob', 'to snatch']"
类,lèi,"['kind', 'type', 'class', 'category', 'similar', 'like', 'to resemble']"
坑,kēng,"['variant of 坑[keng1]', 'pit', 'hole']"
肥,féi,"['fat', 'fertile', 'loose-fitting or large', 'to fertilize', 'to become rich by illegal means', 'fertilizer', 'manure']"
向,xiàng,"['variant of 向[xiang4]', 'direction', 'orientation', 'to face', 'to turn toward', 'to', 'towards', 'shortly before', 'formerly']"
悲剧,bēijù,"['tragedy', 'CL:出[chu1]']"
部,bù,"['ministry', 'department', 'section', 'part', 'division', 'troops', 'board', 'classifier for works of literature, films, machines etc']"
看见,kànjiàn,"['to see', 'to catch sight of']"
结果,jiéguǒ,"['outcome', 'result', 'conclusion', 'in the end', 'as a result', 'to kill', 'to dispatch']"
永远,yǒngyuǎn,"['forever', 'eternal']"
酒,jǐu,"['wine (esp. rice wine)', 'liquor', 'spirits', 'alcoholic beverage', 'CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1]']"
欺负,qīfù,['to bully']
乖,guāi,"['(of a child) obedient, well-behaved', 'clever', 'shrewd', 'alert', 'perverse', 'contrary to reason', 'irregular', 'abnormal']"
年轻,niánqīng,['young']
嫉妒,jídù,"['to be jealous', 'to envy', 'to hate']"
知,zhī,"['to know', 'to be aware']"
有些,yǒuxiē,"['some', 'somewhat']"
习惯,xíguàn,"['habit', 'custom', 'usual practice', 'to be used to', 'CL:個|个[ge4]']"
白,bái,"['white', 'snowy', 'pure', 'bright', 'empty', 'blank', 'plain', 'clear', 'to make clear', 'in vain', 'gratuitous', 'free of charge', 'reactionary', 'anti-communist', 'funeral', 'to stare coldly', 'to write wrong character', 'to state', 'to explain', 'vernacular', 'spoken lines in opera']"
祝福,zhùfú,"['blessings', 'to wish sb well']"
站,zhàn,"['station', 'to stand', 'to halt', 'to stop', 'branch of a company or organization', 'website']"
想到,xiǎngdào,"['to think of', 'to call to mind', 'to anticipate']"
烦,fán,"['to feel vexed', 'to bother', 'to trouble', 'superfluous and confusing', 'edgy']"
完了,wánle,"['to be finished', 'to be done for', 'ruined', 'gone to the dogs', 'oh no']"
疼,téng,"['(it) hurts', 'sore', 'to love dearly']"
了解,lejiě,"['to understand', 'to realize', 'to find out']"
总是,zǒngshì,['always']
哥哥,gēgē,"['older brother', 'CL:個|个[ge4],位[wei4]']"
心里,xīnlǐ,"['chest', 'heart', 'mind']"
面,miàn,"['flour', 'noodles', '(of food) soft (not crunchy)', '(slang) (of a person) ineffectual', 'spineless']"
红,hóng,"['red', 'popular', 'revolutionary', 'bonus']"
店,diàn,"['inn', 'shop', 'store', 'CL:家[jia1]']"
怀念,huáiniàn,"['to cherish the memory of', 'to think of', 'reminisce']"
尼玛,nímǎ,"['Nyima county, Tibetan: Nyi ma rdzong in Nagchu prefecture 那曲地區|那曲地区[Na4 qu3 di4 qu1], central Tibet']"
书,shū,"['book', 'letter', 'document', 'CL:本[ben3],冊|册[ce4],部[bu4]', 'to write']"
明白,míngbái,"['clear', 'obvious', 'unequivocal', 'to understand', 'to realize']"
切,qiē,"['definitely', 'absolutely (not)', '(scoffing or dismissive interjection) Yeah, right.', 'Tut!', 'to grind', 'close to', 'eager', 'to correspond to', 'see also 反切[fan3 qie4]']"
儿子,érzǐ,['son']
小时,xiǎoshí,"['hour', 'CL:個|个[ge4]']"
电视,diànshì,"['television', 'TV', 'CL:臺|台[tai2],個|个[ge4]']"
好玩,hǎowán,"['to be playful', ""to be fond of one's fun""]"
老婆,lǎopó,['(coll.) wife']
正,zhèng,"['straight', 'upright', 'proper', 'main', 'principal', 'to correct', 'to rectify', 'exactly', 'just (at that time)', 'right (in that place)', '(math.) positive']"
到底,dàodǐ,"['finally', 'in the end', 'when all is said and done', 'after all', 'to the end', 'to the last']"
成功,chénggōng,"['success', 'to succeed', 'CL:次[ci4],個|个[ge4]']"
咱们,zánmen,"['we or us (including both the speaker and the person(s) spoken to)', '(dialect) I or me', '(dialect) (in a coaxing or familiar way) you', 'also pr. [za2 men5]']"
多谢,duōxiè,"['many thanks', 'thanks a lot']"
周,zhōu,"['week', 'weekly', 'variant of 周[zhou1]']"
难过,nánguò,"['to feel sad', 'to feel unwell', '(of life) to be difficult']"
完全,wánquán,"['complete', 'whole', 'totally', 'entirely']"
参加,cānjiā,"['to participate', 'to take part', 'to join']"
不怕,bùpà,"['fearless', 'not worried (by setbacks or difficulties)', 'even if', 'even though']"
座,zuò,"['seat', 'base', 'stand', 'CL:個|个[ge4]', 'classifier for buildings, mountains and similar immovable objects']"
泪,lèi,['tears']
改,gǎi,"['to change', 'to alter', 'to transform', 'to correct']"
说明,shuōmíng,"['to explain', 'to illustrate', 'to indicate', 'to show', 'to prove', 'explanation', 'directions', 'caption', 'CL:個|个[ge4]']"
远,yuǎn,['to distance oneself from (classical)']
件,jiàn,"['item', 'component', 'classifier for events, things, clothes etc']"
以,yǐ,"['to use', 'by means of', 'according to', 'in order to', 'because of', 'at (a certain date or place)']"
淡定,dàndìng,"['calm and collected', 'unperturbed']"
粉,fěn,"['powder', 'cosmetic face powder', 'food prepared from starch', 'noodles or pasta made from any kind of flour', 'whitewash', 'white', 'pink']"
鄙视,bǐshì,"['to despise', 'to disdain', 'to look down upon']"
口,kǒu,"['mouth', 'classifier for things with mouths (people, domestic animals, cannons, wells etc)', 'classifier for bites or mouthfuls']"
杯,bēi,"['variant of 杯[bei1]', 'trophy cup', 'classifier for certain containers of liquids: glass, cup']"
群,qún,"['group', 'crowd', 'flock, herd, pack etc']"
飞,fēi,['to fly']
梦,mèng,"['dream', 'CL:場|场[chang2],個|个[ge4]']"
赞,zàn,"['to patronize', 'to support', 'to praise', '(Internet slang) to like (an online post on Facebook etc)']"
超级,chāojí,"['super-', 'ultra-', 'hyper-']"
本,běn,"['root', 'stem', 'origin', 'source', 'this', 'the current', 'original', 'inherent', 'originally', 'classifier for books, periodicals, files etc']"
捏,niē,['variant of 捏[nie1]']
难受,nánshòu,"['to feel unwell', 'to suffer pain', 'to be difficult to bear']"
病,bìng,"['illness', 'CL:場|场[chang2]', 'disease', 'to fall ill', 'defect']"
介,jiè,"['to introduce', 'to lie between', 'between', 'shell', 'armor']"
棒,bàng,"['stick', 'club', 'cudgel', 'smart', 'capable', 'strong', 'wonderful', 'classifier for legs of a relay race']"
萌,méng,"['to sprout', 'to bud', 'to have a strong affection for (slang)', 'adorable (loanword from Japanese 萌え moe, slang describing affection for a cute character)']"
哎呀,āiyā,"['interjection of wonder, shock or admiration']"
严重,yánzhòng,"['grave', 'serious', 'severe', 'critical']"
份,fèn,"['classifier for gifts, newspaper, magazine, papers, reports, contracts etc', 'variant of 分[fen4]']"
贱,jiàn,"['inexpensive', 'lowly']"
晒,shài,"['(of the sun) to shine on', 'to bask in (the sunshine)', 'to dry (clothes, grain etc) in the sun', '(fig.) to expose and share (one\'s experiences and thoughts) on the Web (loanword from ""share"")', '(coll.) to give the cold shoulder to']"
广告,guǎnggào,"['to advertise', 'a commercial', 'advertisement', 'CL:項|项[xiang4]']"
果然,guǒrán,"['really', 'sure enough', 'as expected', 'if indeed']"
帅哥,shuàigē,"['handsome guy', 'lady-killer', 'handsome (form of address)']"
今年,jīnnián,['this year']
特,tè,"['special', 'unique', 'distinguished', 'especially', 'unusual', 'very']"
不在,bùzài,"['not to be present', 'to be out', '(euphemism) to pass away', 'to be deceased']"
